job_id,job_url,job_title,company_name,job_location,posted_date,job_link_id,job_description,applied,application_type,company_emails,official_job_url

2,https://de.linkedin.com/jobs/view/junior-project-manager-dach-at-fever-3586174339?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=5m%2F09qGI%2BMeEM%2FFbBy%2Fcqg%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Project Manager (DACH),Fever,"Berlin, Deutschland",Vor 1 Monat,3586174339,"
        Hi, we're FeverWe're excited you are checking out this job offer.We are the leading global live-entertainment discovery tech platform with a clear mission: to democratize access to culture and entertainment. How do we achieve our mission? Fever has developed a proprietary technology that inspires a global community of over 125M people through personalized and curated experiences in their local city whilst empowering entertainment and event creators to reach new audiences and enhance their experience.Sounds amazing, right?As part of the Fever Originals team, you will use data and insights to create one-of-a-kind events and experiences that allow people to have unforgettable moments.Who You'll Work WithYou will join one of our offices either in BERLIN or MADRID to work with the teams and directly interact with our partners, providers, and venues.In this role you will help Fever grow its pipeline of original events. To do so, you will interact with all departments of Fever, from Marketing to Operations.The team you're about to join consists of people that are motivated, young, and fun. On top of having multicultural backgrounds, people in the team are all top profiles: McKinsey, Amazon, Google, KKR, Cirque du Soleil, PSG, and Roland Garros.What You'll DoAs a Junior Project Manager, you will work with your team lead to develop, launch and manage your events, from A to Z. Together with the other departments, you will define the way to scale this event to all our other markets. You will be responsible for owning the strategic planning, execution, and reporting for our key strategic experiences.When you join Fever, you are joining a company that will invest in your professional development. You will receive training and coaching on how to:Provide a detailed analysis of business opportunities and inefficiencies; proposing changes to operational processes; driving a high standard in customer satisfaction; ensuring high-quality experiences are delivered. Manage events from conception to delivery, working with existing partners and developing new relationshipsHelp to scale the Candlelight experience in the DACH teamCoordinate with the different internal teams at Fever Work with the Fever marketing team to make sure events make an impact both in terms of ticket sales and coverageManage, report on, and grow revenue from Candlelight EventsRepresent the Fever brand at events Make informed decisions based on data (including P&L analysis) Work with the Candlelight teams across the brand in the Dutch+Nordics marketEnsure COVID-19 safety measures are being followed at all events and assist in training staffPreferred Qualifications1+ years in a project management role or consulting background. This is not a position for an events background. Fluent German and English with excellent communication skills (both oral and written). Huge appetite for learning and the ability to pick up new skills quickly. You will also have strong analytical, relationship management, and organizational skills. You'll be solution-focused, identifying problem areas and then creating plans to find resolutions. You'll have strong communication skills and a proven track record of building positive working relationships. Highly organized and efficientCurious and keen to push boundaries and try new conceptsGreat networking skills and the ability to make smart partnerships happenAble to communicate with events partners, brands, agencies, and talent on effortsManage of excel and PowerPoint is essential. Able to handle large amounts of work and parallel work-streamsCollaborative and willing to get hands dirty and work on all required events tasksKnowledge of promotional tools such as Facebook and Instagram is a plusStrong academic background is a plus You can expect to join a group of diverse, hardworking team players, where a cultural fit is someone willing to stay humble and learn and can work nimbly. We welcome applications with unusual backgrounds with the expectation that the applicant will have acquired hard or soft skills and maturity throughout their experiences.What You'll GetAttractive compensation package and the potential to earn a significant bonus for top performance. Opportunity to have a real impact in a high-growth global category leader40% discount on all Fever events and experiencesPrivate health insuranceGympass MembershipFlexible remunerationWork in the heart of the city, with possible travel across our marketsHome office friendlyResponsibility from day one and professional and personal growthGreat work environment with a young, international team of talented people to work with! Our hiring processA 30 min video call with one of our Talent Acquisition Managers, to better understand your career plan, assess cultural fit and answer any questions you may haveA 60 min online test with three topics: logic, analytics and written understandingA 30 min conversation with your future managerA 45 min video call with your future manager, including questions about your profile and a business case presentation (to be prepared in advance)On average our process lasts 20 working days and offers usually follow within a week.Thank you for considering joining Fever. We cannot wait to learn more about you!If you want to learn more about us: Fever's Blog | Tech.Eu | TechCrunchFever is committed to creating an inclusive and diverse workspace where everyone's background and ideas count. Our main goal is to find the best possible talent regardless of place of birth, racial or ethnic origin, gender, gender identity, religion, opinion, sexual orientation, disability, pregnancy, marital status, age or caring responsibilities. We encourage everyone to apply!If you require any kind of accommodation during the selection process please contact our Talent team so we can help you by providing a welcoming and seamless journey.If you want to know more about how Fever processes your personal data, click here Fever - Candidate Privacy Notice
      ",internal,internal,[],None
3,https://de.linkedin.com/jobs/view/creative-project-manager-m-f-d-at-numa-3600856174?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=cGks174rbxYXBAqKXXYckA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,Creative Project Manager (m/f/d),numa,Berlin,Vor 3 Tagen,3600856174,"
        About NumaAt numa we believe in a much needed simplicity and delight in the traditional hospitality industry, so we’re building a new way. We’re developing innovative technologies to establish and operate a new lifestyle apartment category in the world’s most vibrant neighbourhoods. We build a wholly digital and personalised guest journey without the need for human interaction, a data-driven automated revenue management system, and a platform to automate 80% of hospitality processes. We’re bringing some soul to travel and want you to join us on the journey.About The RoleYour MissionWe are seeking a proactive and organized Creative Project Manager to join our team. Reporting to the Creative Lead, you will be responsible for managing the physical and digital projects that our Creative team work on, as well as owning the production of our distribution and lifestyle shoots. You will be the main point of contact for our Creative team across departments, ensuring that our projects run smoothly from start to finish.Objectives & Key ResponsibilitiesProject Management: Managing the physical and digital projects that the Creative team partakes in will be the biggest part of your roleShoot Production: You will own the production of our distribution and lifestyle shoots, from sourcing talent and hiring freelancers to arranging the setCross-Departmental Collaboration: You will be the point of contact for the Creative Team across departments, ensuring that projects are on track and deadlines are metTimeline Management: You will be responsible for creating and managing project timelines, making sure that all deliverables are completed on time and within scopeCreative Briefing: You will work closely with the Creative team to develop and deliver project briefs, ensuring that all deliverables meet the needs of the project stakeholdersResource Allocation: Alongside the Creative Lead, you will be responsible for allocating resources, including staff, freelancers, and equipment, to ensure that projects are adequately staffed and resourcedRisk Management: You will be responsible for identifying and mitigating potential project risks, working with stakeholders to address any issues that arise during the project lifecycleAbout YouWe encourage you to apply even if you don't think you meet all of the below criteria. We care most that you are excited about the role and our mission, and are willing to learn. Ideally, you have:Experience in a Creative Agency or in-house is preferred, but not mandatory. We are looking for someone who is eager to learn and grow with our teamProcess-Obsessed: You will be following established processes while keeping an analytical mindset and trying to spot gaps where the process could be optimizedKnowledge in the Creative Field: You have knowledge of the creative field, including design, photography, and video productionProactive: You are a self-starter who takes initiative and is always looking for ways to improve processes and outcomesGood interpersonal skills: To build high trust relationships and communicate with other stakeholdersOrganized: You have strong organizational skills and can manage multiple projects simultaneouslySoftware: Familiarity with Asana, Notion, Google Docs, and the Adobe Suite is preferredAbout Our OfferJoin an agile work environment with flat hierarchies where your ideas make an impact from the very beginningBuild your own success story based on what you do well and how you want to growMake the most of our flexible working hours and work from home flexibilityChoose the tools you work with from our selection of office equipment and softwareMaintain and improve your mental wellness with a monthly Calm subscription on usElevate your fitness with a free Gympass subscription or monthly gym stipendGet to know your internationally diverse team during our events and retreatsWe want you to understand our product so upon your start, you'll get to spend a night at your nearest numa stay!numa values the diversity of the people it hires and serves. Diversity at our company means fostering a workplace in which individual differences are recognised, appreciated, respected and responded to in ways that fully develop and utilise each person’s talents and strengths. We therefore welcome applications from people of all races, ethnicities, disability statuses, ages, religions, gender identities, and sexual orientations.For more information on the processing of your personal data, please see our Privacy Notice.
      ",external,external,[],https://de.linkedin.com/jobs/view/externalApply/3600856174?url=https%3A%2F%2Ft%2Egohiring%2Ecom%2Fh%2F4601e790f75def2b7c6a7ee952fbe990a68ca5c76a9c3dad69fe1ae696ca85b5&urlHash=LOBs&refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=cGks174rbxYXBAqKXXYckA%3D%3D
4,https://de.linkedin.com/jobs/view/project-manager-at-continuitygs-3605079492?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=Hw%2FqhfbLLwaJapjY1OEiwA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,Project Manager,ContinuityGS,Berlin,Vor 4 Wochen,3605079492,"
        PROJECT MANAGER - PHYSICAL SECURITYThe Project Manager (PM) must have experience and qualifications on a range of security-related skills and have a verified record of proven reliability and good conduct.Required Education: The PM shall have completed secondary education, poly-technical school or obtained a national diploma or Associate’s degree.Required Experience: Minimum ten years of police, military, security or Local Guard Force management experience with a minimum of five years of the work experience being at the supervisory or command levels Minimum of five years’ work experience in the host country (Germany) or in the region (West / Central Europe) Experience in program or project management Experience managing security staff or Local Guard Force management experienceRequired Knowledge and Skills: Possess intimate knowledge of overseas security environments and have familiarity with recent trends and specific terrorist and criminal threats facing the U.S. Mission in Berlin.Program and/or project management skills.Risk management skills, including problem identification, risk management planning, qualitative risk analysis and problem solving.Qualifications in a range of security-related skills.Verified record of proven reliability and good conduct to minimize personnel and staffing issues.Computer literacy, including the ability to use all common office management tools (e.g. Microsoft Office).Experience with multiple levels of communication among various levels of management.Be able to maintain and manage communication between all parties.Expertise in all areas of physical security and access control.Must understand operational methods of all guard force units and zones for response.Must be capable of maintaining a professional demeanor under highly stressful circumstances.Be experienced in basic communications and radio use/procedures.Be able to define, sequence and estimate activities and resources.Experience acquiring, developing and managing project teams.Firearms training and certification in accordance with local labor law and the requirements of this contract.Citizenship and Residency Requirements:Must be a citizen of the host country, a U.S. citizen, or a Third Country National citizen in possession of a valid current work visa in the host nation.Must speak German and have an English language proficiency speaking/reading skill level S4/R4 (advanced).Must hold a current driver’s license for Germany.Must live in Berlin.Duties: On a daily basis, the PM will analyze the operational security environment throughout the region, country and city and work closely with the COR to ensure the Post’s security posture and countermeasures are commensurate with the overall threat to U.S. personnel and the Mission.Provide proactive program management.Provide the COR with specific information and status of the Local Guard Force on a daily basis.The PM must be dedicated full time to support this contract and must be accessible and responsive to the CO or COR on all matters related to contract performance 24/7.The PM must be accessible in person within one hour of request by the COR or GTM.
      ",internal,internal,[],None
5,https://de.linkedin.com/jobs/view/project-manager-m-f-d-adam-audio-gmbh-at-focusrite-3577392079?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=gqoMbeQNe3hvKQCMwr3yLg%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,Project Manager (m/f/d) - ADAM Audio GmbH,Focusrite,Berlin,Vor 3 Wochen,3577392079,"
        Project Manager (m/f/d) – ADAM Audio GmbHLocation: Berlin, GermanyTerm: Full-time, PermanentSalary: Depending on professional experienceYour role:We are seeking an experienced project manager to join our growing team overseeing and managing projects in our company based in Berlin. ADAM Audio GmbH (part of the Focusrite Group) makes high end monitoring systems for recording studios, home producers and installations. Our manufacturing is split between China and Berlin itself. The products we create make use of high specification acoustic components along with integrated firmware and software functionality.As an integral part of our team, you will be responsible for leading project teams, managing timelines and budgets, and ensuring the successful delivery of our high-quality products.We look to encourage a friendly work environment which offers employees a chance to exercise their curiosity and grow with the company. You will have ample opportunities to employ and practice both your people and technical skills.What you'll be doing:Lead and manage cross-functional project teams, including engineers, designers, and other stakeholders.Develop and maintain project plans, timelines, and budgets.Identify and mitigate project risks and issues.Track project progress and report regularly to the Project Board, interfacing with group-wide stakeholders.Manage project scope and ensure that projects are completed within budget and on schedule.Communicate project status and updates to stakeholder and suppliers.Work with product development teams to ensure that new products are developed and launched on time and within budget.Build relationships with the teams and stakeholders.Contribute to new improvements and processes, made scalable for ADAM Audio’s fast-growing delivery roadmap.Your profile:Bachelor's degree in engineering, business, or related field.Minimum of 5 years of experience in project management or change management.Knowledge of the loudspeaker, hifi, or music technology industries is a plus.Fluent spoken and written English and German.Proven track record of successfully managing complex projects or initiatives, in a hardware product development environment.Effective leadership and team management skills, with emphasis on coaching and on the fostering of effective collaboration.Excellent communication and interpersonal skills.A proficiency for analysis and problem-solving. At ease with project management software such as MS Project or Jira.If you have a passion for project management and product development, and a desire to work in a dynamic and fast-paced environment, then we encourage you to apply for this exciting opportunity. We offer a competitive salary and benefits package, as well as opportunities for career growth and development.We look forward to receiving your application!About UsADAM Audio GmbH is a rapidly growing, internationally positioned Focusrite AG company based in Berlin Adlershof.We are one of the market-leading manufacturers of professional monitoring solutions. Our customers include renowned recording studios and well-known music producers all over the world, and our products have also been used to soundtrack numerous Oscar-nominated films in recent years.Since 2019, ADAM Audio is part of Focusrite plc which houses ten other, highly respected pro audio brands: Martin Audio, Optimal Audio, Linea Research, Sequential, Oberheim, Focusrite, Focusrite Pro, Novation, Ampify Music and Sonnox. Our international team at the Berlin-based HQ and offices in the USA and China live their passion for music. We constantly drive ourselves to bring fresh ideas and new technologies to our high-quality products to meet the needs of pro audio enthusiasts and recording professionals alike.We pride ourselves in providing some of the tools that empower creatives all over the world to bring their visions to life. Covering a wide range of products for different levels and budgets, we engage with artists, producers and engineers to become a companion throughout the various stages of their journey.Our whole business is structured to let everyone contribute and be heard at all levels, and we make sure it’s a fun place to work. As a team, we work hard and support each other to master our individual tasks, building and developing the skills of talented and passionate people – to achieve a common goal. So, if you think you can bring something new to the mix, we look forward to hearing from you.Benefits include:AG Bonus Programme (company performance) as part of the Focusrite GroupFlexible working hours with pragmatic remote working solutionsSupport with health careRegular language lessonsEmployee product discountsMonthly staff & team eventsFeelGood Manager in place Pension Contribution SchemeADAM Audio is an equal opportunity employer. Our employees span a wide range of diverse backgrounds and we believe that embracing diversity is one of the keys to our future success.
      ",internal,internal,[],None
6,https://de.linkedin.com/jobs/view/project-manager-business-analyst-at-okto-3577389503?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=mplkV%2FYzfXznIR64ZEgI%2Fw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,Project Manager/ Business Analyst,OKTO,Berlin,Vor 3 Wochen,3577389503,"
        OKTO’s continuous growth demands high-caliber candidates, who can demonstrate professionalism, passion, and creativity. For those who come on board, we offer significant career advancement, challenges, and a runway for growth.OKTO (www.oktopay.eu) powers digital payments for every entertainment, leisure, and gaming environment. Our unified payment platform combines secure, real-world transactions with the most powerful payment technology to create immersive payment experience for both merchants and their users.Since 2019, OKTO has been improving payment interactions for online and retail gaming and introducing frictionless payments with its local knowledge, sector expertise and international capabilities.The expanding business now employs over 100 payment experts, gaming insiders and software engineers, serving some of the most exciting international markets including, Brazil, Romania, Italy, Greece, Germany, the UK and Spain.SummaryThe Project Manager will be in constant communication and collaboration with multiple stakeholders (Technology, Commercial, Legal, Compliance, Financial) as well as third party vendors and partners. They will need to be able to be able to understand multiple points of view and analyse the impact of each one on the project.ResponsibilitiesCoordinate internal resources and third parties/vendors for the flawless execution of projectsEnsure that all projects are delivered on-time, within scope and within budgetDevelop project scope and objectives, involving all relevant stakeholders while ensuring technical feasibility Gather and analyse project requirements using appropriate tools and methodologiesIdentify and resolve issues that ariseEnsure resource availability and allocationDevelop and manage a detailed project schedule and work plan for tracking progressCreate and maintain comprehensive project documentationMonitor progress and make adjustments as neededMeasure project performance using appropriate systems, tools and techniques to identify areas for improvementUse appropriate verification techniques to manage changes in project scope, schedule and costsPerform risk management to minimize project risksProvide project updates on a consistent basis to various stakeholders about strategy, adjustments, and progressReport and escalate to management as neededUtilize industry best practices, techniques, and standards throughout entire project executionManage relationships with both internal and external stakeholdersMaintain and monitor the implementation of the product roadmapEstablish and maintain relationships with third parties/vendorsManage vendors and suppliers by assigning tasks and communicating expected deliverablesRequirementsGreat educational background, preferably in the fields of computer science or information technology. A background in both IT and business will be considered an asset.Proven working experience as a project manager / business analyst / consultant in the information or financial technology sectorsSolid technical background, with understanding or hands-on experience in software development and web technologiesDeep knowledge of software development methodologies (Agile, Scrum, Kanban, etc.) and practices (User Stories, Use Cases, UAT, etc.)Strong working knowledge of Microsoft OfficeStrong working knowledge of Atlassian products (JIRA, Confluence, etc.)Excellent written and verbal communication skills (English and German)Soft SkillsExcellent interpersonal (client-facing and internal communication skills)Solid organizational skills including attention to detail and multi-tasking skillsExcellent analytical skillsProblem-solving and initiative taking mentalityAvailability for frequent travelling to Athens,GreeceBenefits💸 Competitive renumeration package according to your experience🌍 Opportunity to work in a fast-paced international company🏠Friendly, motivating, and challenging environment where you can thrive and develop your skills📚 Continuous training for all your learning and development needs⭐Career advancement and organized feedback framework
      ",internal,internal,[],None
7,https://de.linkedin.com/jobs/view/senior-project-manager-at-signa-group-of-companies-3599979995?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=MjzWHzZTiAHih8aCHVrxDw%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,Senior Project Manager,SIGNA Group of Companies,Berlin,Vor 1 Woche,3599979995,"
        Wir suchen eine/nSenior Project Manager(m/w/d)in BerlinIhre zukünftige RolleProjektentwicklung eines Berliner Stadtentwicklungsprojektes - vom Ankauf bis hin zur Fertigstellung und Endabrechnung.Klärung aller für die Projektrealisierung relevanten rechtlichen, technischen und wirtschaftlichen Rahmenbedingungen und Herbeiführen aller notwendigen Entscheidungen in Zusammenarbeit mit internen wie externen Projektpartnern und BeteiligtenAufzeigen von wirtschaftlichen und technischen Potenzialen sowie Übernahme der BudgetverantwortungLaufende Steuerung in Bezug auf den Termin- und Kostenrahmen, Projektmonitoring und Qualitätskontrolle während des gesamten ProjektesKoordination des internen ProjektteamsFühren von Vertrags- und Bauverhandlungen Schnittstellenfunktion zu den internen Bereichen, wie z.B. Marketing/PR und Controlling sowie zu externen Partnern, wie z.B. Behörden, Nachbarn, Architekten, Fachplanern und sonstigen externen Dienstleistern Ihre Kompetenzen Abgeschlossenes Studium der Fachrichtung Bauingenieurwesen, Architektur, Wirtschaftsingenieurwesen oder eine vergleichbare QualifikationMehrjährige Berufserfahrung in Planung und Entwicklung von Immobilien, insbesondere gemischtgenutzter Immobilien in innerstädtischer LageErfahrung im Holzbau ist von Vorteil Freude an Komplexität und Verständnis technischer und betriebswirtschaftlicher ZusammenhängeTalent für Mitarbeiterführung und ProjektsteuerungFreude am Realisieren innovativer IdeenUnternehmerische Sichtweise Ihre PerspektivenBei Uns Können Sie Sich Freuen AufEs erwarten Sie urbane Großprojekte, die einen Mehrwert für Städte und Menschen schaffen.Selbständiges Arbeiten und Einbringen eigener IdeenBetreuen von herausragenden, komplexen, innerstädtischen ProjektenZusammenarbeit mit internationalen FachgrößenOffenes und wertschätzendes Kommunizieren auf AugenhöheEin modernes und inspirierendes Umfeld in Innenstadtlage Vielfältige Weiterbildungsmöglichkeiten Beste technische AusstattungAußergewöhnliche Team-EventsLeistungsgerechte Vergütung Die SIGNA Gruppe ist eine privat geführte Investmentgesellschaft mit dem Fokus auf den Real Estate-, Retail- und Mediensektor. Heute zählen wir nicht nur zu den bedeutendsten Immobilieninvestoren und Quartiersentwicklern Europas, sondern tragen auch als europaweit führender Investor im stationären Handel wesentlich zur Gestaltung pulsierender und inspirierender Innenstädte bei. Gemeinsam mit unseren zahlreichen Online-Plattformen schaffen wir einen „Marktplatz der Zukunft“, der die Online- und Offline-Angebote miteinander kombiniert.SIGNA Real Estate entwickelt und managt seit über 20 Jahren ein umfassendes Portfolio an außergewöhnlichen Immobilienprojekten in der DACH-Region und in Italien. Wir sind ein erfahrenes Team von Immobilienexperten und steuern alle Aktivitäten von der Akquisition bis zur Fertigstellung des Projekts. In enger Zusammenarbeit mit den jeweiligen Partnern setzt SIGNA Real Estate auf Stadtentwicklung, zukunftsweisende Nutzungskonzepte und architektonische Einzigartigkeit.
      ",external,external,[],https://de.linkedin.com/jobs/view/externalApply/3599979995?url=https%3A%2F%2Fjobs%2Esigna%2Eat%2Fsigna%2Fjob%2FBerlin-Senior-Project-Manager-10623%2F749170601%2F&urlHash=TvB4&refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=MjzWHzZTiAHih8aCHVrxDw%3D%3D
8,https://de.linkedin.com/jobs/view/junior-project-manager-m-w-d-at-civocracy-3590733587?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=gbHcv8ka2i%2FF9qJUdGL6FQ%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,Junior Project Manager (m/w/d),Civocracy,Berlin,Vor 2 Wochen,3590733587,"
        We believe that meaningful change can only be created by fostering engagement. Our mission: We provide purpose-driven organisations with innovative and inclusive strategies for community engagement and stakeholder consultation.Now we are looking for a junior project manager, keen to design and implement effective participation projects with our clients in Germany and Europe.TasksSupport our clients in the conceptualisation and execution of their engagement projectsSupport the analysis of projects and creation of case studies that demonstrate the achieved impactBecome an expert user of our platform to help our clients reach their supportersProvide technical support to our clientsDepending on your profile, you could also dive into content creation for our website, social media and project campaignsRequirementsIn our dream world, you bring the following:Experience with (digital) user growth strategies and tactics - even better around community building and engagement. Experience in conceptualising and conducting workshopsA flair for marketing/communication and (digital) trendsNative German and fluent English - actually this one is a must for this roleAutonomy and a can-do spiritCuriosity and creativity - the secret recipe for participation has yet to be found, you are allowed and encouraged to try a lot of new things. Resilience and stamina - working with governments and administrations can be exhausting. But if you keep at it, it's worth it. Love for democracy and social developments - if you've read this far, you'll probably have that anyway :)BenefitsCivocracy as an employerHere should be things like ""Responsibility"", ""Purpose"", ""Flat hierarchies"", ""Flexibility"", etc. But even if all this is true, these words are so overused that they have already lost their meaning.Let's do it differently. If it is the right fit between us, we will try to build the optimal working environment for you together.Application StepsPlease apply by sending us your CV and brief cover letterIf we think it could be a match, we'll get in touch with you for a first callYou will have the chance to get a feeling for our work by completing a short case studyThe last step will be the presentation of your case study together with a chat with our founder & CEO :)We are excited to hear from you!
      ",external,external,[],https://de.linkedin.com/jobs/view/externalApply/3590733587?url=https%3A%2F%2Fjoin%2Ecom%2Fcompanies%2Fcivocracy%2F7895653-junior-project-manager-m-w-d%3Fpid%3Dd7cb2e8e859c62cd7f75&urlHash=uXif&refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=gbHcv8ka2i%2FF9qJUdGL6FQ%3D%3D
9,https://de.linkedin.com/jobs/view/project-program-manager-f-m-d-at-simplesurance-gmbh-3589807615?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=jr4f4DSfoseEceCyyVsbTQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,Project & Program Manager (f/m/d),simplesurance GmbH,"Berlin, Deutschland",Vor 1 Monat,3589807615,"
        Your platform for simple access to insurance„We believe in easy and smart insurance. That's why we constantly invest in our unique platform with transparent and efficient insurance services to connect people and business, anywhere & anytime.""Who We Are...Since 2012, we are proudly „Made in Berlin"": we are a very international team with 120+ people from over 30 countries working in our central Berlin office, as well as teams located in Tokyo, Lisbon and Mumbai.simplesurance is one of the leading providers of embedded insurance and focuses on ecosystems that are evolving rapidly, including mobility, e-commerce, travel, fintech and banking. Companies like N26, LIDL, heycar and OnePlus use simplesurance's technology to embed insurance into their customer journey, optimizing and improving the customer experience.We are pioneers in our field and after the recent joining to the Allianz Group we are stronger than ever to reshape the world of insurances. Do you want to be part of this journey?About The Job...You will be the main contact person for project partners in all matters regarding tender participation, requirements definition, scoping and realization and management of the business cooperationYou control heterogeneous internal and external project teams, moderate committees, including at top management level, and present complex IT projects in a manner appropriate to the target groupYou plan and coordinate IT programs and implement them end-2-end from gathering requirements to delivery in coordination with our departmentYou assure in-time delivery of projectsYou align your programs with both classic and agile project management methods as requiredYou will structure and prioritize the requests of the partners or internal stakeholders concerning project and product modifications and communicate them to Product and Engineering teams (from backend-process-requirements to user-facing web)You proactively identify dependencies, changes and risks in the program planning and control them in cooperation with the clients and the project teamsYou will generate and maintain project schedules and project documentation and be responsible for the ongoing QA of the contentWhat We're Looking For...You bring the experience of being in a similar position for about 2-3 yearsYou are highly experienced and well versed in the communication and negotiation between different internal & external stakeholdersYou are able to manage complex projects and always keep overview of status, deliverables and challenges to the planYou are strong and disciplined in documentation and keeping plans up-to-dateYou have a good understanding of web and app technologiesYou are able to think in technical processes and data-structures as well as user experience flowsYou have a process-oriented and structured way of working as well as the affinity to work on details (coordination capabilities)You have the ability to perform under pressureYou are flexible to travel if neededWhat We Offer…At simplesurance you will get an all round feel-good package including:Great working atmosphere with amazing peopleOur most loved Flexible benefit: free BVG monthly ticket or a subsidy for Internet usageFlexible working hoursWhile this job requires regularly working from our office in Berlin, we provide the possibility to work from home as well a few times per week, and additionally up to 25 days per year to work from an EU country of your choice28 vacation daysA warm-hearted, flexible and solution-oriented environment with an open feedback cultureA company supported pension planA free product insurance of your choiceA great Referral ProgramAccess to our Learning and Development ProgramFantastic team eventsFree drinks, fruits and much moreCurious to know more? - Check out what else we offer here.For your application…fill in the form below. For any questions contact us under jobs@simplesurance.de - Marianna will take care of your application.Never stop playing!
      ",external,external,['jobs@simplesurance.de'],https://de.linkedin.com/jobs/view/externalApply/3589807615?url=https%3A%2F%2Fgrnh%2Ese%2F666bb9fa1us&urlHash=bLni&refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=jr4f4DSfoseEceCyyVsbTQ%3D%3D
10,https://de.linkedin.com/jobs/view/project-coordinator-gn-pmo-at-manpower-professional-deutschland-3596087208?refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=j8iN%2FNESglnWD4hWeMtmlw%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,Project Coordinator (gn) PMO,Manpower Professional Deutschland,Berlin,Vor 1 Woche,3596087208,"
        Sie suchen einen neuen Job?Im Rahmen einer unbefristeten Festanstellung sucht Experis Sie als Project Coordinator (GN) PMO für die Bundesdruckerei am Standort Berlin Mitte.Finden Sie mit Experis den richtigen Job! Nutzen Sie unsere Erfahrung und Beratung für Ihre bestmögliche Entwicklung. Als IT Spezialist bringen wir Sie mit namhaften Unternehmen zusammen.Unser Angebot an Sie:Attraktives Jahresgehalt € 30 Tage Jahresurlaub sorgen für ausreichend Erholung Gute Work-Life-Balance durch flexible Arbeitszeiten 35-Stunden-Woche Breites Portfolio an Fort- und Weiterbildungsmöglichkeiten Modern gestaltete Büros für ein angenehmes Arbeiten vor Ort Möglichkeit zum anteiligen mobilen Arbeiten Leckere Mitarbeiterkantine Zentrale Lage in Berlin MitteDas sind Ihre Aufgaben:Planung, Überwachung und Steuerung von technischen Umsetzungsprojekten bzw. Realisierungsprojekten im Rahmen der Zeit-, Kosten-, Ressourcen- und Qualitätsvorgaben Durchführung des Procuement ProzessesKaufmännisch-technische Projektabwicklung: Projektschnittstelle zur Finanzbuchhaltung und zum Controlling, Ermittlung der Ist-Kosten und Aufbereitung Plan- / Ist-Kostenvergleiche Abstimmung und Unterstützung von Projektleitern der Abteilung Verantwortung für themenbezogene Reports, Analysen und Protokolle sowie Erstellen von entscheidungsreifen Präsentationsunterlagen Vorbereitung, Organisation und Durchführung von Terminen und WorkshopsOrganisatorische und administrative Unterstützung in den Projekten hinsichtlich Inventar und BüromaterialDamit überzeugen Sie uns:Abgeschlossenes Studium im Bereich Wirtschaftswissenschaften oder alternativ abgeschlossene Berufsausbildung mit langjähriger BerufserfahrungMehrjährige Erfahrung in der Arbeit im Project Management OfficeNachgewiesene Berufserfahrung als Projektcoordinator oder in einer ähnlichen Funktion Erfahrungen im ProjektmanagementAusgeprägte Organisations- sowie ZeitmanagementfähigkeitenSicherer Umgang mit den gängigen MS-Office-Anwendungen, insbesondere mit ExcelSorgfältige und interdisziplinäre Arbeitsweise und Verantwortungsbewusstsein TeamfähigkeitKonnten wir Sie überzeugen?Der schnellste Weg zu uns führt über den Bewerben-Button!Wir leben Vielfalt und Chancengleichheit und freuen uns deshalb natürlich über Bewerbungen von Menschen mit Behinderung.Alle personenbezogenen Formulierungen in der Stellenanzeige sind geschlechtsneutral zu betrachten.Ihr Ansprechpartner:Markus Peyerl
      ",external,external,[],https://de.linkedin.com/jobs/view/externalApply/3596087208?url=https%3A%2F%2Fwww%2Emanpower%2Ede%2Fde%2Fjobs%2Fit%2Fprojectcoordinatorgnpmo%2Fzfid4rlazsssk7qujkvifaaaabm&urlHash=2huQ&refId=aJMM6X3APJK7F6Jd9QF8ZA%3D%3D&trackingId=j8iN%2FNESglnWD4hWeMtmlw%3D%3D
