id,job_id,link,job_title,job_location,company_name,num_applicants,posted_date,job_description,company_emails,job_poster_name,application_type,applied
1,3715602353,https://www.linkedin.com/jobs/view/3715602353/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=FQt0%2FD5KjBRAcL2GXId6fg%3D%3D&trk=flagship3_search_srp_jobs,Technical Project Manager - Next Generation Aircraft (m/f/d),Germany,Volocopter,,2023-09-13,,,,internal,True
2,3645195750,https://www.linkedin.com/jobs/view/3645195750/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=ewR3UwpVQLFgQfR%2FvoN3mA%3D%3D&trk=flagship3_search_srp_jobs,(Senior) Project Manager - IT Business Development (m/w/d),Germany,ABOUT YOU,,2023-06-02,,,,internal,True
3,3642581423,https://www.linkedin.com/jobs/view/3642581423/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=D9KSHoedkBGgHeXpRRTKng%3D%3D&trk=flagship3_search_srp_jobs,Infrastructure Project Manager,Germany,Ampstek,,2023-06-23,,,,internal,True
4,3706312865,https://www.linkedin.com/jobs/view/3706312865/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=JqiUyeqKc8FaykBsodCa0w%3D%3D&trk=flagship3_search_srp_jobs,Project Manager Fulfillment Services (m/w/d),Germany,ABOUT YOU,,2023-08-31,,,,internal,True
5,3732434310,https://www.linkedin.com/jobs/view/3732434310/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=ylHWsBDYdLx66Qy0lEe2qw%3D%3D&trk=flagship3_search_srp_jobs,Construction Project Manager - Automotive,Germany,The PAC Group,,2023-09-09,,,,internal,True
6,3679829121,https://www.linkedin.com/jobs/view/3679829121/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=Ma4f1lHQyLAoUb0N1I3IZA%3D%3D&trk=flagship3_search_srp_jobs,Infrastructure Project Manager,Germany,Ampstek,,2023-08-01,,,,internal,True
7,3728283198,https://www.linkedin.com/jobs/view/3728283198/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=34%2BHP8ISgTE9sCYS8h8ZyA%3D%3D&trk=flagship3_search_srp_jobs,Prototyping Project Manager (m/f/d),Germany,Volocopter,,2023-09-28,,,,internal,True
8,3725431392,https://www.linkedin.com/jobs/view/3725431392/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=c4yfLDdasg1CvgNlqGD%2F0w%3D%3D&trk=flagship3_search_srp_jobs,Project Manager Battery (m/f/d),Germany,Volocopter,,2023-09-22,,,,internal,False
9,3667144274,https://www.linkedin.com/jobs/view/3667144274/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=3XlyqCKKlFHcQ%2BJSNYAhmw%3D%3D&trk=flagship3_search_srp_jobs,Technical Project Manager (m/f/d),Germany,Sowelo Consulting sp. z o.o. sp. k.,,2023-06-22,,,,internal,True
10,3709615329,https://www.linkedin.com/jobs/view/3709615329/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=awsj4bp3cDA9p%2BiUq6Hvew%3D%3D&trk=flagship3_search_srp_jobs,SaaS AMS Service Delivery Manager,Germany,Avaloq,,2023-09-04,,,,internal,False
11,3679319433,https://www.linkedin.com/jobs/view/3679319433/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=x3XQsXiVkDtLPnGoqrQArQ%3D%3D&trk=flagship3_search_srp_jobs,Infrastructure - Sr. Project Manager - Network,Germany,DeRisk Technologies,,2023-07-28,,,,internal,True
12,3726572751,https://www.linkedin.com/jobs/view/3726572751/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=O9h%2FvfOItVLv8yalZzlj%2Fw%3D%3D&trk=flagship3_search_srp_jobs,Associate Technical Project Manager-Germany,Germany,Tillster,,2023-09-29,,,,internal,True
13,3709481553,https://www.linkedin.com/jobs/view/3709481553/?eBP=JOB_SEARCH_ORGANIC&refId=NJimPToQunFLy%2F91Qi%2B7oQ%3D%3D&trackingId=9MIGHQTf3oVEuSam5666QQ%3D%3D&trk=flagship3_search_srp_jobs,Project Manager Stationary,Germany,Luminator Technology Group,,2023-08-31,,,,internal,True
26,3691661409,https://www.linkedin.com/jobs/view/3691661409/?eBP=JOB_SEARCH_ORGANIC&refId=2GznBXdCErIjlg6UgNpNng%3D%3D&trackingId=jHT%2FDBp2OOYiK2xD%2BFE0Kg%3D%3D&trk=flagship3_search_srp_jobs,Disease Manager / Medical Project Manager / Digital Health,Germany,mama health,,2023-07-17,,,,internal,True
27,3678227030,https://www.linkedin.com/jobs/view/3678227030/?eBP=JOB_SEARCH_ORGANIC&refId=2GznBXdCErIjlg6UgNpNng%3D%3D&trackingId=p0H9tyhizu%2FJ5KI%2BhL9OCg%3D%3D&trk=flagship3_search_srp_jobs,Project Manager - Security,Germany,ContinuityGS,,2023-07-02,,,,internal,False
28,3669894683,https://www.linkedin.com/jobs/view/3669894683/?eBP=JOB_SEARCH_ORGANIC&refId=2GznBXdCErIjlg6UgNpNng%3D%3D&trackingId=0bzGDsdMVMOTpXGT2ORNuw%3D%3D&trk=flagship3_search_srp_jobs,Project Manager - Security,Germany,ContinuityGS,,2023-06-25,,,,internal,False
29,3728901521,https://www.linkedin.com/jobs/view/3728901521/?eBP=JOB_SEARCH_ORGANIC&refId=2GznBXdCErIjlg6UgNpNng%3D%3D&trackingId=Ih8F2EF2IlqlC3Q0E31VFQ%3D%3D&trk=flagship3_search_srp_jobs,Embedded Systems Project Manager IoT,Germany,SkyCell AG,,2023-09-27,,,,internal,True
30,3636827444,https://www.linkedin.com/jobs/view/3636827444/?eBP=JOB_SEARCH_ORGANIC&refId=2GznBXdCErIjlg6UgNpNng%3D%3D&trackingId=yMzvpfo4jebZm%2BesIf4pbw%3D%3D&trk=flagship3_search_srp_jobs,Project Manager - Security,Germany,ContinuityGS,,2023-05-20,,,,internal,False
31,3667132645,https://www.linkedin.com/jobs/view/3667132645/?eBP=JOB_SEARCH_ORGANIC&refId=2GznBXdCErIjlg6UgNpNng%3D%3D&trackingId=ixE2YbQyFslCgH08D9tyqQ%3D%3D&trk=flagship3_search_srp_jobs,(Senior) SAP Project Manager (m/w/d),Germany,Westernacher Consulting,,2023-06-22,,,,internal,True
32,3590303007,https://www.linkedin.com/jobs/view/3590303007/?eBP=JOB_SEARCH_ORGANIC&refId=2GznBXdCErIjlg6UgNpNng%3D%3D&trackingId=i2etFS3joS%2BA0d9CNEdCyg%3D%3D&trk=flagship3_search_srp_jobs,SAP SD OTC Projekt Manager,Germany,Belmont Lavan,,2023-04-03,,,,internal,True
